"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q43_First.Click","Q43_Last.Click","Q43_Page.Submit","Q43_Click.Count","Q60_First.Click","Q60_Last.Click","Q60_Page.Submit","Q60_Click.Count","timing_First.Click","timing_Last.Click","timing_Page.Submit","timing_Click.Count","timing_First.Click.1","timing_Last.Click.1","timing_Page.Submit.1","timing_Click.Count.1","timing_First.Click.2","timing_Last.Click.2","timing_Page.Submit.2","timing_Click.Count.2","timing_First.Click.3","timing_Last.Click.3","timing_Page.Submit.3","timing_Click.Count.3","timing_First.Click.4","timing_Last.Click.4","timing_Page.Submit.4","timing_Click.Count.4","bird_t_First.Click","bird_t_Last.Click","bird_t_Page.Submit","bird_t_Click.Count","aut_t_First.Click","aut_t_Last.Click","aut_t_Page.Submit","aut_t_Click.Count","vax2_Vax1_1","vax2_Vax1_2","vax2_Vax1_3","vax2_Vax1_4","vax2_Vax1_5","vax2_Vax1_6","vax2_Vax1_check","vax2_Vax1_33","vax2_Vax1_34","vax2_Vax1_35","vax2_Vax1_36","conseq2R_Consequ2R_1","conseq2R_Consequ2R_2","conseq2R_Consequ2R_3","conseq2R_Consequ2R_4","conseq2R_Consequ2R_5","conseq2R_Consequ2R_check","Euth2R_Euthanasia2R_1","Euth2R_Euthanasia2R_2","Euth2R_Euthanasia2R_3","Euth2R_Euthanasia2R_4","Euth2R_Euthanasia2R_5","Euth2R_Euthanasia2R_check","Abort2R_Abortion2R_1","Abort2R_Abortion2R_2","Abort2R_Abortion2R_3","Abort2R_Abortion2R_4","Abort2R_Abortion2R_5","Abort2R_Abortion2R_check","parent","num_child","oldest","youngest","hope_par","flu","flu2","flu3","flu4","delay","refuse","exemption","Attention","Any.commen","SC1","SC2","SC3","SC4","workerId","assignmentId","hitId","study_time","payment","condition"
"366","2018-03-22 10:52:38","2018-03-22 10:56:12","0","5442101883ebf56d","100","214","1","2018-03-22 10:56:12","R_AEvBjW3Sn7eOxjj","","","","",41.88,-87.72,"anonymous","EN","0","0","7.255","0","0","0","3.426","0","","","","","","","","","","","","","","","","","","","","","0","0","43.341","0","","","","","2","6","6","2","6","2","5","6","3","6","1","4","1","4","2","4","2","6","6","4","4","6","5","3","1","2","3","3","2","0","","","","0","0","0","","","","","","1","Nice and quick for good pay; a rare find on Mturk.","3","23","14","20","f36025930fdd9c34","31QNSG6A5RTHRWFTA6MME1RQ0F178Y","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"367","2018-03-22 10:49:51","2018-03-22 10:56:37","0","34aeb3539e6da480","100","406","1","2018-03-22 10:56:38","R_yVZtx3gpNlLogAp","","","","",34.17,-84.8,"anonymous","EN","0","0","30.733","0","0","0","8.069","0","","","","","","","","","","","","","","","","","","","","","","","","","15.546","15.546","30.522","1","6","1","1","6","6","6","5","1","1","1","6","4","4","4","4","4","2","6","1","6","2","6","5","4","3","4","4","3","3","1","2","4","0","","0","0","0","0","0","1","3","1","no","4","18","18","29","786ff3b0c9fa6102","3I02618YA064VZQ69VH8AF00X0NUPW","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"368","2018-03-22 10:51:04","2018-03-22 10:56:54","0","5fe27015310d3ec9","100","350","1","2018-03-22 10:56:55","R_PSqHbf93NlzHYyZ","","","","",33.11,-86.9,"anonymous","EN","0","0","11.532","0","0","0","3.695","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","46.272","0","1","6","6","1","6","1","5","6","1","6","1","6","6","1","6","1","2","1","6","1","6","1","5","6","6","6","1","1","3","1","1","6","","","0","0","1","1","0","0","0","1","","4","10","30","5","a6eea9ac13554a57","3RANCT1ZVFH2R5PWQQZ7FVVBGWJBU3","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"369","2018-03-22 10:55:00","2018-03-22 10:57:02","0","aa92ebc823a70887","100","122","1","2018-03-22 10:57:02","R_1jUKE83yWExZu5D","","","","",28.55,-81.3,"anonymous","EN","1.483","2.137","7.832","3","0","0","2.982","0","","","","","","","","","","","","","","","","","","","","","0.927","5.471","17.209","4","","","","","3","4","4","4","4","3","5","4","4","3","3","5","4","5","4","4","2","3","3","3","3","4","5","3","2","3","5","3","4","0","","","","0","0","0","","","","","","1","Great study.","3","20","14","18","61e062f36422f4e1","308Q0PEVB8DEULFZYPWX5MCAY1I9I8","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"370","2018-03-22 10:51:22","2018-03-22 10:57:04","0","b4d2bbee52cfcf2e","100","341","1","2018-03-22 10:57:04","R_306slfgFIBP1Gth","","","","",41.9,-87.94,"anonymous","EN","0","0","6.36","0","0","0","10.008","0","0","0","42.329","0","0","0","12.783","0","0","0","7.67","0","30.935","31.841","33.765","2","0","0","11.232","0","","","","","","","","","1","6","6","1","6","2","5","6","1","6","1","5","3","4","3","4","2","5","3","4","5","5","5","3","2","3","4","4","3","0","","","","1","0","0","","","","","","1","no","4","21","14","20","7ed17bdb57e1ea81","3U84XHCDICDZS5YXHYOSO94K8MHZ4A","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"371","2018-03-22 10:50:33","2018-03-22 10:57:12","0","1bd6563fdcde55a1","100","399","1","2018-03-22 10:57:13","R_2Xb5Kcx0PE5QPee","","","","",39.7,-104.77,"anonymous","EN","0","0","8.054","0","0","0","6.046","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","87.347","0","2","6","6","2","6","1","5","6","2","6","1","5","6","2","3","3","2","6","1","6","1","6","5","1","1","1","6","5","3","1","2","12","6","","0","1","0","1","0","0","0","1","The study was clear and had no errors.","4","15","6","30","d08d18fa2d6b4947","3L0KT67Y8EGIP0Q3BDIR85BOG8GYSP","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"372","2018-03-22 10:50:45","2018-03-22 10:57:34","0","423f18439e7a4e75","100","408","1","2018-03-22 10:57:34","R_2DVaeECJVAtxST1","","","","",37.23,-82.28,"anonymous","EN","0","0","7.601","0","0","0","8.766","0","","","","","","","","","","","","","","","","","","","","","0","0","70.161","0","","","","","5","6","5","1","5","2","5","5","3","5","1","5","2","4","2","5","2","6","2","6","5","6","5","3","2","3","4","3","3","1","2","14","12","","0","0","1","1","0","0","0","1","","4","24","15","25","c5079ea0f6e500f2","3QECW5O0KH1L2CTYPBIK7D9HNMR5T6","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"373","2018-03-22 10:52:58","2018-03-22 10:57:37","0","b500a589fdf7fd22","100","278","1","2018-03-22 10:57:37","R_XgGYuJEGUisKqRj","","","","",32.81,-97.11,"anonymous","EN","0","0","22.395","0","0","0","4.491","0","","","","","","","","","","","","","","","","","","","","","0","0","47.252","0","","","","","2","5","5","1","4","2","5","6","4","6","1","3","3","1","4","3","2","4","3","4","3","4","5","4","3","5","2","1","3","1","2","10","10","","0","0","0","1","0","0","0","1","I have twin girls, so they are both 10. That is why I put my oldest is 10 and my youngest is 10.","4","14","23","20","c21019606f7394fd","3RGU30DZTA8PWGIZ5GL2M9XUBFQJM5","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"374","2018-03-22 10:55:20","2018-03-22 10:58:19","0","6a3998eeafd08e82","100","178","1","2018-03-22 10:58:19","R_9sEVwLL8t090Fot","","","","",35.12,-80.93,"anonymous","EN","0","0","6.216","0","0","0","2.755","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","28.273","0","3","5","4","3","3","5","5","4","5","4","3","5","4","4","4","3","2","6","3","6","3","6","5","1","1","1","6","4","3","0","","","","2","0","0","","","","","","1","","4","18","7","26","3a165936302fe90f","3MHW492WW0DYNBITM5ZLPX8O62LMVH","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"375","2018-03-22 10:53:43","2018-03-22 10:58:51","0","9c6bdfbc6f903403","100","307","1","2018-03-22 10:58:52","R_zZkuE5lEN4LBcaZ","","","","",44.05,-70.39,"anonymous","EN","5.089","5.089","6.009","1","0","0","2.8","0","3.878","23.593","24.326","4","9.416","9.416","12.205","1","0.955","0.955","8.387","1","5.298","28.495","32.987","4","0","0","21.013","0","","","","","","","","","1","5","5","2","5","1","5","5","2","6","1","4","4","3","4","4","2","4","3","4","4","4","5","2","2","3","4","4","3","0","","","","0","0","0","","","","","","1","","4","17","13","19","d80e2638e98cecc1","3E7TUJ2EGCMXMAZD6BVMEPWX6WC9D8","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"376","2018-03-22 10:49:20","2018-03-22 10:59:21","0","37b61fd4874f746f","100","601","1","2018-03-22 10:59:21","R_3L69MqO6OZZl97z","","","","",45.4,-92.83,"anonymous","EN","0","0","12.824","0","0","0","5.686","0","25.844","25.844","27.374","1","13.496","13.496","15.88","1","0","0","13.002","0","0","0","50.936","0","0","0","16.452","0","","","","","","","","","2","5","4","4","1","5","5","4","6","3","2","6","6","4","1","4","2","4","3","5","1","4","5","6","6","6","1","1","3","1","3","20","11","","0","0","0","0","1","1","3","1","None.","4","21","30","23","8d1094e29dbe4087","3Q5ZZ9ZEVOF24S1AMD7PGHDU99658H","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"377","2018-03-22 10:55:55","2018-03-22 10:59:47","0","5d332d679b2577dc","100","231","1","2018-03-22 10:59:47","R_2uquNGMGrfY33TY","","","","",30.27,-97.74,"anonymous","EN","0","0","5.995","0","0","0","3.491","0","7.726","7.726","7.997","1","0","0","7.442","0","0","0","7.308","0","0","0","29.481","0","0","0","9.861","0","","","","","","","","","1","6","6","1","5","2","5","6","2","6","1","5","3","5","2","3","2","6","2","5","5","6","5","1","1","1","6","5","3","0","","","","2","0","1","","","","","","1","","4","22","6","24","128b86edccce273f","31HQ4X3T3SAYP1J4SYT1EX9S7TDSLS","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"378","2018-03-22 10:55:59","2018-03-22 11:00:08","0","a009c2af500bd149","100","249","1","2018-03-22 11:00:09","R_bOf6zTfrW7VOhFf","","","","",34.05,-118.34,"anonymous","EN","0","0","6.908","0","15.38","15.38","15.689","1","","","","","","","","","","","","","","","","","","","","","0","0","16.96","0","","","","","4","3","3","4","3","3","3","4","3","4","4","3","5","3","5","5","2","3","3","5","2","2","2","3","6","4","3","5","5","1","2","6","5","","1","1","1","1","1","1","1","1","","1","15","19","19","4ecb2b419f4c0d06","3RJSC4XJ10UKM3W7R9UAN27CQBV05Q","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"379","2018-03-22 10:56:09","2018-03-22 11:00:17","0","b7e258f3b15323cc","100","247","1","2018-03-22 11:00:18","R_2sSj3wYO18zYM5E","","","","",34.09,-118.13,"anonymous","EN","0","0","10.639","0","0","0","3.148","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","47.298","0","3","5","6","1","6","2","5","6","3","6","1","5","4","3","4","3","2","4","3","5","4","5","5","4","2","3","5","4","3","0","","","","3","1","1","","","","","","1","","4","17","14","21","08647fc4fc414376","36AHBNMV1RCCNB7LENN2D6POF57YDW","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"380","2018-03-22 10:49:21","2018-03-22 11:01:08","0","a463d07e5f895517","100","707","1","2018-03-22 11:01:09","R_3jdGPaPcPPHLSa4","","","","",40.75,-73.97,"anonymous","EN","0","0","8.899","0","0","0","15.113","0","0","0","12.761","0","0","0","8.354","0","0","0","8.324","0","0","0","34.025","0","0","0","8.867","0","","","","","","","","","5","6","4","5","2","3","5","5","4","3","6","6","4","5","6","4","2","5","3","6","3","2","5","5","2","6","3","4","3","0","","","","0","0","0","","","","","","1","nice ","4","19","20","21","f5440afca1f2f7c2","3WMOAN2SRBX45T3TY6EL2CXOBSXVNS","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"381","2018-03-22 10:58:53","2018-03-22 11:01:21","0","b4402aeb35eeb5df","100","147","1","2018-03-22 11:01:22","R_3MRkjmfjAUskYbO","","","","",35.52,-79.2,"anonymous","EN","0","0","10.79","0","0","0","9.354","0","","","","","","","","","","","","","","","","","","","","","9.386","10.04","19.342","2","","","","","2","4","4","2","4","3","5","5","2","5","2","5","3","4","2","5","2","5","2","4","4","4","5","2","2","2","6","5","3","0","","","","0","0","0","","","","","","1","","4","23","9","21","6774065586c2ae7a","3PS7W85Z8Z243ZVAS1V1JTEJ9IB9T2","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"382","2018-03-22 10:57:23","2018-03-22 11:01:37","0","fec2b53fc92e5479","100","254","1","2018-03-22 11:01:37","R_qU6xfVndIocbUU9","","","","",32.05,-88.66,"anonymous","EN","0","0","18.486","0","0","0","8.69","0","","","","","","","","","","","","","","","","","","","","","","","","","46.064","46.064","47.522","1","2","5","6","1","4","1","5","6","1","6","1","4","6","6","6","1","2","1","6","6","6","1","5","6","6","6","1","1","3","0","","","","1","0","0","","","","","","1","simple","4","13","30","10","eea8229e5dda6dc4","31IBVUNM9SZSH1QC0IV8U7OF91IFVC","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"383","2018-03-22 10:57:21","2018-03-22 11:01:45","0","ecf114a6474b5769","100","263","1","2018-03-22 11:01:45","R_1KkY6xSvyG3GVU6","","","","",37.8,-100,"anonymous","EN","0","0","6.516","0","0","0","3.337","0","12.421","12.421","13.808","1","7.253","12.357","14.886","2","0","0","11.033","0","0","0","26.198","0","0","0","8.586","0","","","","","","","","","6","6","6","1","6","1","5","6","3","6","1","6","1","4","1","3","2","6","2","6","5","4","5","3","2","1","3","4","2","1","2","21","14","","0","0","1","1","0","0","0","1","no","3","25","13","23","44235a19b56216a7","3P1L2B7AD1PJR9RBLHCSUSZRA4ALOO","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"384","2018-03-22 10:59:02","2018-03-22 11:01:53","0","20999351c4f6d80e","100","171","1","2018-03-22 11:01:54","R_5aoZbOTgyQAzDUd","","","","",41.9,-87.64,"anonymous","EN","0","0","8.596","0","0","0","6.31","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23.328","0","1","6","6","2","4","1","5","6","1","6","1","4","4","4","3","3","2","6","1","4","2","5","5","1","2","1","5","5","3","0","","","","3","0","0","","","","","","1","no","4","18","8","26","943b92787a852641","3NGI5ARFTT5OM2Z8777OZDV3M311PF","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"385","2018-03-22 10:55:47","2018-03-22 11:02:01","0","86f941fa0f0a4fdd","100","374","1","2018-03-22 11:02:01","R_3jTAZxV9fxgdnMb","","","","",36.06,-87.43,"anonymous","EN","0","0","12.77","0","0","0","4.236","0","","","","","","","","","","","","","","","","","","","","","","","","","1.813","1.813","112.018","1","2","5","1","2","5","1","5","5","2","5","1","5","3","4","3","4","2","5","2","5","2","5","5","2","2","2","5","5","3","0","","","","0","0","1","","","","","","1","","4","21","10","25","8d6a09ffa4692838","3SKRO2GZ71RNBB2SUF2G3W94STRK1T","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"386","2018-03-22 10:58:08","2018-03-22 11:02:32","0","265567c7888a9dec","100","263","1","2018-03-22 11:02:32","R_2s1kqDeGKgDlQtS","","","","",45.06,-93.38,"anonymous","EN","0","0","5.905","0","0","0","2.805","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","28.945","0","1","6","6","1","5","1","5","6","1","6","1","5","2","2","4","3","2","6","1","4","2","6","5","1","1","1","6","6","3","0","","","","2","0","0","","","","","","1","","4","18","5","27","a41812dfc1e82d45","3VP0C6EFSGWD8L3SLXRDD5SPP976MN","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"387","2018-03-22 10:59:01","2018-03-22 11:03:26","0","21c6a7db166231f9","100","264","1","2018-03-22 11:03:26","R_3j2Il7s1o5AWX3j","","","","",37.93,-122.34,"anonymous","EN","0","0","8.734","0","0","0","3.716","0","","","","","","","","","","","","","","","","","","","","","0","0","54.896","0","","","","","5","5","6","1","5","1","5","5","2","5","1","4","2","3","3","4","2","6","3","5","4","6","5","2","1","1","5","5","3","0","","","","3","0","0","","","","","","1","","4","20","8","24","c348d362f38d4df1","33JKGHPFYCULF69KKEDUFGEBKZWMND","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"388","2018-03-22 10:53:40","2018-03-22 11:03:28","0","9500c94397f26806","100","588","1","2018-03-22 11:03:29","R_1mscDGguF3svRMe","","","","",44.64,-123.27,"anonymous","EN","0","0","19.126","0","0","0","5.177","0","0","0","37.991","0","0","0","21.762","0","0","0","15.553","0","0","0","52.424","0","0","0","20.62","0","","","","","","","","","5","5","5","2","5","4","5","6","2","5","1","5","6","4","4","3","2","5","3","5","5","4","5","3","2","2","5","5","3","0","","","","3","0","0","","","","","","1","I noticed many of the questions were the same as the first round, except with the addition of the story and disease descriptions/images. Perhaps part of the study was to see how the story and images altered our responses?","4","16","11","20","b2ccacf94e2fc177","3JZQSN0I3QA9Z40HBNWMU6L5MMXFGQ","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"389","2018-03-22 10:45:35","2018-03-22 11:03:50","0","d7a89354e573403c","100","1094","1","2018-03-22 11:03:50","R_3PtUJ5LlqlcoZqM","","","","",42.89,-78.88,"anonymous","EN","0","0","612.491","0","0","0","7.76","0","","","","","","","","","","","","","","","","","","","","","72.135","72.135","72.139","1","","","","","6","6","5","5","5","6","5","6","5","6","5","6","5","5","6","5","2","5","5","6","6","6","5","6","5","5","6","5","3","0","","","","1","0","1","","","","","","1","no","4","19","19","20","e237602170074629","3D8YOU6S9EKWLT81UZIZ4F9J2V86UD","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"390","2018-03-22 11:01:27","2018-03-22 11:04:10","0","9bac7755bce9a200","100","163","1","2018-03-22 11:04:10","R_3HF7hdEpB0vB21z","","","","",37.03,-93.32,"anonymous","EN","9.614","9.614","10.054","1","0","0","3.77","0","0","0","4.59","0","0","0","4.845","0","0","0","4.379","0","0","0","17.433","0","0","0","6.987","0","","","","","","","","","1","6","6","1","5","1","5","6","2","6","1","4","2","4","4","4","2","5","2","5","2","5","5","3","3","3","5","4","3","1","3","10","2","","1","1","1","1","0","0","0","1","","4","20","14","25","2a72225e6bf918cf","36AHBNMV1RCCNB7LENN2D6POF58YDX","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"391","2018-03-22 10:55:59","2018-03-22 11:04:15","0","5fbab0483f395b2e","100","495","1","2018-03-22 11:04:15","R_RVmrYhC6fc8zazn","","","","",35.52,-97.57,"anonymous","EN","0","0","8.362","0","0","0","3.839","0","","","","","","","","","","","","","","","","","","","","","0","0","65.101","0","","","","","4","4","4","3","4","5","5","4","3","4","2","5","5","2","3","5","2","6","1","6","1","6","5","1","1","1","6","6","3","0","","","","1","0","0","","","","","","1","No.","4","18","5","30","d1f594c3b5d1e26f","3QAPZX2QN4DSN6DK9QSCPV4061402P","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"392","2018-03-22 11:02:22","2018-03-22 11:04:57","0","a340cca516f8089b","100","154","1","2018-03-22 11:04:58","R_3mdViwvWMuePrjw","","","","",40.4,-79.97,"anonymous","EN","13.422","13.422","13.759","1","19.271","19.271","19.833","1","0","0","12.053","0","0","0","4.348","0","0","0","6.498","0","0","0","36.399","0","6.163","6.163","6.47","1","","","","","","","","","4","6","4","4","3","6","5","4","4","5","4","5","3","3","5","5","2","4","4","5","3","2","5","4","5","4","3","5","3","0","","","","2","0","0","","","","","","1","","4","19","19","18","10e686224b46832d","3J2UYBXQQLCG57WLWS4FF8LCM6760D","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"393","2018-03-22 10:56:47","2018-03-22 11:05:30","0","9a0dc781ce27206f","100","523","1","2018-03-22 11:05:30","R_22lRjVfmmggo0Ot","","","","",33.63,-112.13,"anonymous","EN","2.791","3.906","15.428","2","0","0","3.934","0","10.717","17.43","18.132","4","22.408","22.408","24.31","1","0","0","12.706","0","3.608","30.92","59.836","5","0","0","19.188","0","","","","","","","","","3","5","5","4","3","5","5","5","3","2","2","5","5","4","4","3","2","5","5","6","5","3","5","5","2","3","4","3","3","1","3","12","4","","0","0","0","0","0","0","0","1","","4","17","17","18","55699f1cc1a6c548","3W92K5RLWUH0F4XNU6IZ8VX2K785VN","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"394","2018-03-22 11:00:26","2018-03-22 11:05:31","0","01892ff0184bb48d","100","304","1","2018-03-22 11:05:31","R_ZL6xHcRZuVP6rBv","","","","",40.91,-79.93,"anonymous","EN","0","0","21.062","0","0","0","4.483","0","","","","","","","","","","","","","","","","","","","","","0","0","75.644","0","","","","","2","5","6","2","5","2","5","6","2","6","1","5","5","5","5","5","2","2","5","5","5","3","5","5","3","5","4","2","3","1","1","32","","","1","1","1","1","0","0","0","1","","4","19","21","14","e1841dd73f91c038","3JAOYWH7VI4GKMN5JSTAX242F5PL9B","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"395","2018-03-22 11:02:24","2018-03-22 11:06:50","0","4fb74c9399c3b740","100","265","1","2018-03-22 11:06:50","R_9od3NXF9G6tk3g5","","","","",35.38,-119.23,"anonymous","EN","0","0","7.002","0","0","0","3.125","0","","","","","","","","","","","","","","","","","","","","","","","","","9.5","40.623","72.494","3","1","6","6","1","1","1","5","6","1","6","1","6","6","6","1","6","2","1","6","1","1","1","5","1","1","1","6","6","3","0","","","","1","0","1","","","","","","1","","4","25","5","10","4c4d99b2e4734909","3NVC2EB65QZE5J5OLYHQ0X3COSK3Y5","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"396","2018-03-22 11:04:03","2018-03-22 11:07:11","0","60c5e1fee9fa62cf","100","187","1","2018-03-22 11:07:11","R_3rSzEBdp9GC10Dn","","","","",39.89,-79.75,"anonymous","EN","0","0","6.762","0","0","0","3.142","0","0","0","4.682","0","0","0","4.434","0","0","0","5.34","0","0","0","26.656","0","0","0","7.95","0","","","","","","","","","5","5","5","2","3","1","5","5","2","5","2","2","2","2","2","2","2","5","2","5","2","5","5","2","2","2","5","5","3","0","","","","0","0","0","","","","","","1","","4","16","10","25","ceefa51240f78398","32RIADZISS42RTCJM6UKSG7HL7K4SD","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"397","2018-03-22 11:02:23","2018-03-22 11:07:13","0","5aae4d3936ea6163","100","289","1","2018-03-22 11:07:13","R_1M6SS8cbCwOzvRr","","","","",30.42,-97.8,"anonymous","EN","0","0","45.878","0","0","0","4.637","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","57.685","0","1","6","6","1","6","1","5","6","1","6","1","4","1","4","4","4","2","6","1","5","4","5","5","2","1","1","6","6","3","1","2","33","28","","1","1","1","1","0","0","0","1","none","4","21","6","25","2944fff9ab1eb9e6","3DEL4X4EL6LQLHC25NOE7DSGVNKYXZ","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"398","2018-03-22 11:04:19","2018-03-22 11:07:43","0","f9d7763381d49e14","100","203","1","2018-03-22 11:07:43","R_10MCD7wm9KqJmBk","","","","",41.28,-72.87,"anonymous","EN","0","0","10.269","0","5.494","5.494","6.062","1","","","","","","","","","","","","","","","","","","","","","","","","","0","0","22.357","0","2","4","6","1","5","2","5","5","2","5","1","5","1","4","2","4","2","6","2","6","4","6","5","2","1","2","6","5","3","1","1","2","","","0","0","1","1","0","0","0","1","","4","24","8","26","a6d99737753457a4","3Q5C1WP23M1KTSHPNSYA17QMV3251Z","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"399","2018-03-22 11:05:05","2018-03-22 11:07:50","0","5e3c85ea4a5b72ee","100","164","1","2018-03-22 11:07:50","R_1eOGhhvH3Lx8i2K","","","","",46.48,-90.15,"anonymous","EN","0","0","13.558","0","0","0","3.031","0","","","","","","","","","","","","","","","","","","","","","0","0","39.797","0","","","","","2","5","5","2","5","2","5","5","2","5","2","5","4","5","2","4","2","5","2","5","4","5","5","3","2","3","4","4","3","0","","","","1","0","1","","","","","","1","","4","22","14","23","0fbd769cf2594b3b","3IKZ72A5B4GF9WH3YR9HKQU2NYEFNT","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"400","2018-03-22 10:58:17","2018-03-22 11:08:17","0","a59358c19c5f3750","100","600","1","2018-03-22 11:08:17","R_OB8RJ8qNiwzTfnr","","","","",30.14,-95.47,"anonymous","EN","0","0","137.031","0","0","0","16.844","0","0","0","5.902","0","0","0","5.55","0","0","0","6.304","0","0","0","64.352","0","0","0","9.085","0","","","","","","","","","1","6","6","1","6","1","5","6","2","6","1","4","2","2","2","4","2","4","3","4","3","4","5","3","2","3","3","4","3","0","","","","2","1","1","","","","","","1","","4","20","15","20","785de5194a2e07fb","3VP0C6EFSGWD8L3SLXRDD5SPP97M63","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"401","2018-03-22 11:05:07","2018-03-22 11:08:47","0","65285348e487fc31","100","220","1","2018-03-22 11:08:47","R_1DMWUHpx3XeL0Mx","","","","",42.46,-96.32,"anonymous","EN","0","0","17.049","0","0","0","3.636","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","44.021","0","1","6","6","1","5","1","5","6","2","6","1","5","3","4","3","4","2","6","1","6","2","6","5","1","1","1","6","6","3","1","2","10","8","","0","0","0","1","0","0","0","1","","4","21","5","29","0d058552f7f383f0","3DH6GAKTYYPFQCCH65CZ4Y8R3NJZYY","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"402","2018-03-22 11:06:54","2018-03-22 11:09:18","0","7d9e49fac6023dd3","100","144","1","2018-03-22 11:09:18","R_2w67PGkUaTaqqva","","","","",40.76,-73.93,"anonymous","EN","0","0","5.737","0","0","0","2.737","0","","","","","","","","","","","","","","","","","","","","","0","0","22.42","0","","","","","1","5","5","1","6","1","5","6","2","5","1","5","5","5","3","5","2","6","3","6","6","5","5","4","3","2","5","2","3","1","1","2","","","1","1","0","1","0","0","0","1","","4","21","16","22","f75fadccb355b07f","3NXNZ5RS1AXH51Y3FYS0EXM1KLM97S","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"403","2018-03-22 11:04:41","2018-03-22 11:09:23","0","2f68cbe4de0f2d5d","100","282","1","2018-03-22 11:09:23","R_3syr7TX2bi8VZL8","","","","",41.83,-71.4,"anonymous","EN","0","0","6.252","0","0","0","2.987","0","11.038","11.038","29.365","1","3.083","3.083","13.363","1","2.719","2.719","14.046","1","0","0","36.054","0","0","0","6.525","0","","","","","","","","","4","4","4","3","4","3","5","4","3","4","3","3","2","3","3","3","2","5","3","5","3","5","5","2","2","1","5","4","2","0","","","","1","0","1","","","","","","1","","3","18","10","23","0d971189bebf0bc4","36U2A8VAG1ZK1HDV649PHJKEZE6KYX","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
